Designator,Val,Package,Mid X,MidY,Rotation,Layer
"C1","0.1u","C_0603_1608Metric",146.000000,-78.000000,90.000000,top
"C2","1u","C_0603_1608Metric",154.500000,-78.000000,-90.000000,top
"C3","4.7u","C_0603_1608Metric",158.000000,-78.000000,90.000000,top
"C4","100nf","C_0603_1608Metric",160.000000,-78.000000,90.000000,top
"D1","IR204A","LED_D5.0mm_Horizontal_O1.27mm_Z15.0mm",179.475000,-86.225000,-90.000000,top
"J1","Conn_01x06","PinHeader_1x06_P2.54mm_Vertical",147.920000,-97.500000,90.000000,top
"PMW1","PMW3325DB-TWV1","PMW3325DB-TWV1",151.000000,-93.725000,0.000000,top
"R1","10k","R_0603_1608Metric",163.000000,-78.000000,-90.000000,top
"R2","82","R_0603_1608Metric",173.500000,-81.500000,180.000000,top
"R3","3.3k","R_0603_1608Metric",163.500000,-97.325000,90.000000,top
"U2","TCR2EF19","SOT-23-5",150.000000,-78.000000,0.000000,top
